<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
Сбербанк;D;2022-09-09;000000;134.41;138.47;134.23;138.15;49115280;6696870325.8
Сбербанк;D;2022-09-10;000000;138.15;138.15;138.15;138.15;0;0
Сбербанк;D;2022-09-11;000000;138.15;138.15;138.15;138.15;0;0
Сбербанк;D;2022-09-12;000000;137.07;140.37;136.8;138.7;52610620;7304865311.8
Сбербанк;D;2022-09-13;000000;138.7;139.37;136.15;137;44582700;6135930533.9
Сбербанк;D;2022-09-14;000000;136.6;139.29;135.2;138.9;62838520;8599239020.7
Сбербанк;D;2022-09-15;000000;139.15;140.28;137.61;139.48;56243810;7819974773.2
Сбербанк;D;2022-09-16;000000;139.37;141.39;136.8;137.73;71799280;9983110793.7
Сбербанк;D;2022-09-17;000000;137.73;137.73;137.73;137.73;0;0
Сбербанк;D;2022-09-18;000000;137.73;137.73;137.73;137.73;0;0
Сбербанк;D;2022-09-19;000000;137.4;139.08;137.07;138.04;33272190;4590344282.8
Сбербанк;D;2022-09-20;000000;137.87;138.35;122.42;125.1;208947780;27120994882.9
Сбербанк;D;2022-09-21;000000;112.5;123.98;109.27;120.23;136625430;16327145213.9
Сбербанк;D;2022-09-22;000000;120.25;126.95;120.25;124.31;117479960;14562188054
Сбербанк;D;2022-09-23;000000;124.49;124.5;117.35;119.39;85906070;10311649883.2
Сбербанк;D;2022-09-24;000000;119.39;119.39;119.39;119.39;0;0
Сбербанк;D;2022-09-25;000000;119.39;119.39;119.39;119.39;0;0
Сбербанк;D;2022-09-26;000000;114;117.99;105;107.06;148638170;16617787749.1
Сбербанк;D;2022-09-27;000000;110;113.89;107.07;112.92;90981060;10025188385.2
Сбербанк;D;2022-09-28;000000;112;115.2;109.13;111.06;77969660;8720766869.9
Сбербанк;D;2022-09-29;000000;111.59;112.2;107.68;110.41;67487760;7411211658.2
Сбербанк;D;2022-09-30;000000;111;113.4;103.4;110.21;133569040;14569420124.9
Сбербанк;D;2022-10-01;000000;110.21;110.21;110.21;110.21;0;0
Сбербанк;D;2022-10-02;000000;110.21;110.21;110.21;110.21;0;0
Сбербанк;D;2022-10-03;000000;110.62;114.65;109;114.35;73960960;8280923624.7
Сбербанк;D;2022-10-04;000000;115.06;115.5;110.3;110.55;83564680;9371218814.4
Сбербанк;D;2022-10-05;000000;110.49;110.49;106.25;108.51;90416920;9776634296.1
Сбербанк;D;2022-10-06;000000;108.65;110.38;107.57;108.24;51741480;5630301035.4
Сбербанк;D;2022-10-07;000000;107.7;108.48;101.3;101.5;90989490;9560941533.5
Сбербанк;D;2022-10-08;000000;101.5;101.5;101.5;101.5;0;0
Сбербанк;D;2022-10-09;000000;101.5;101.5;101.5;101.5;0;0
Сбербанк;D;2022-10-10;000000;96.55;106.77;96.5;106.71;117465350;12100541809.1
Сбербанк;D;2022-10-11;000000;106.5;108.3;104.26;107.72;76962080;8212972233.2
Сбербанк;D;2022-10-12;000000;108.27;108.5;105.25;105.9;63378400;6748220830.6
Сбербанк;D;2022-10-13;000000;105.72;107.3;104.8;106.5;46849810;4973132486.8
Сбербанк;D;2022-10-14;000000;106.92;109.19;105.69;107.78;52565400;5631814421.3
Сбербанк;D;2022-10-15;000000;107.78;107.78;107.78;107.78;0;0
Сбербанк;D;2022-10-16;000000;107.78;107.78;107.78;107.78;0;0
Сбербанк;D;2022-10-17;000000;107.93;112.76;107.65;112.44;78496550;8680124454.5
Сбербанк;D;2022-10-18;000000;113.05;114.37;110.48;110.88;101854810;11468880403.2
Сбербанк;D;2022-10-19;000000;110.12;112.93;109.3;112.39;90693010;10047779304.8
Сбербанк;D;2022-10-20;000000;112.75;117.2;112.37;116.98;100723600;11611619802.2
Сбербанк;D;2022-10-21;000000;116.93;119.94;114.37;119.45;102382050;11996337348.7
Сбербанк;D;2022-10-22;000000;119.45;119.45;119.45;119.45;0;0
Сбербанк;D;2022-10-23;000000;119.45;119.45;119.45;119.45;0;0
Сбербанк;D;2022-10-24;000000;120.15;121.68;117.65;118.8;74539310;8899628781
Сбербанк;D;2022-10-25;000000;118.84;125.2;118.3;124.36;114156750;13988406291.3
Сбербанк;D;2022-10-26;000000;124.7;126.88;122.1;124.43;108495360;13490587416.3
Сбербанк;D;2022-10-27;000000;124.75;127.5;123.68;126.61;87915140;11099070231
Сбербанк;D;2022-10-28;000000;126.14;127.25;124.6;126.97;73660000;9289876913.2
